Product,Description,Barcode,Colour,Size,Brand,Hierachy,UOM,SRP,Trade Price,Vat Code,Vat Rate,Web Friendly Description,Image Filename,Stock Flag,Pack Contents,Division Code,Discontinued Flag,Supersession Code,Unit Price,Country of Origin,Break Qty 1,Break Price 1,Break Qty 2,Break Price 2,Break Qty 3,Break Price 3,Break Qty 4,Break Price 4,Break Qty 5,Break Price 5
FDM313X3,FR MECHAltus M313 Hyb CONmulti,4.52467E+12,silver,7/8s c/swg,Shimano Altus,FPTRAH,Each,22.99,12.85,NOR,20,"FD-M313 Altus hybrid front derailleur, conventional swing, dual-pull, multi fit",fdm313x3,Y,1,SHM,N,,10.54,ID,1,10.54,1,0,1,0,1,0,1,0
FDM313X6,FR MECH Altus M313 Con Multi,4.52467E+12,black,7/8s c/swg,Shimano Altus,FPTRAH,Each,21.99,12.28,NOR,20,"FD-M310 Altus 8-speed front derailleur, conventional swing, 42-48T, 66-69 deg",fdm313x6,Y,1,SHM,N,,10.07,ID,1,10.07,1,0,1,0,1,0,1,0
FDM315TSX4,FR MECH M315 Altus 7/8s dbl T/S dual 36T,4.55017E+12,silver,7/8s t/swg,Shimano Altus,FPTRAH,Each,21.99,12.28,NOR,20,"FD-M315 Altus front mech, 7/8-speed double, top swing, dual pull, multi fit",fdm315tsx4,Y,1,SHM,N,,10.07,ID,1,10.07,1,0,1,0,1,0,1,0
FDM370X3,FR MECHAltus M370 Hyb T/Smulti,4.52467E+12,silver/blk,9sp t/swg,Shimano Altus,FPTRAH,Each,24.99,15.25,NOR,20,"FD-M370 Altus 9-speed front derailleur, top swing, dual-pull",fdm370x3,N,1,SHM,N,,12.51,ID,1,12.51,1,0,1,0,1,0,1,0
FDM371X3,FR MECHAltus M371 Hyb con multi,4.52467E+12,silver/blk,9sp c/swg,Shimano Altus,FPTRAH,Each,24.99,15.25,NOR,20,"FD-M371 Altus hybrid 9-speed front derailleur, conventional swing, dual-pull",fdm371x3,Y,1,SHM,N,,12.51,ID,1,12.51,1,0,1,0,1,0,1,0
FDM371X6,FR MECH Altus MTB Conv Multi,4.52467E+12,silver/blk,9sp c/swg,Shimano Altus,FPTRAH,Each,23.99,13.4,NOR,20,"FD-M371 Altus MTB 9-speed front derailleur, conventional swing, dual-pull",fdm371x6,Y,1,SHM,N,,10.99,ID,1,10.99,1,0,1,0,1,0,1,0
FDM4100D4,FR MECH M4100-D Deore 10s dbl S/S dir,4.55017E+12,silver/blk,double,Shimano Deore,FPGRAG,Each,27.99,15.15,NOR,20,"FD-M4100-D Deore front derailleur, 10-speed double, side swing, direct mount",fdm4100d4,Y,1,SHM,N,,15.15,JP,1,15.15,1,0,1,0,1,0,1,0
FDM4100E4,FR MECH M4100-E Deore 10s dbl S/S E-ty,4.55017E+12,silver/blk,double,Shimano Deore,FPGRAG,Each,27.99,15.15,NOR,20,"FD-M4100-E Deore front derailleur, 10-speed double, side swing, E-type",fdm4100e4,Y,1,SHM,N,,15.15,JP,1,15.15,1,0,1,0,1,0,1,0
FDM4100MX4,FR MECH M4100-M Deore 10s dbl S/S mid/c,4.55017E+12,silver/blk,double,Shimano Deore,FPGRAG,Each,29.99,16.25,NOR,20,"FD-M4100-M Deore front derailleur, 10-speed double, side swing, mid clamp",fdm4100mx4,Y,1,SHM,N,,16.25,JP,1,16.25,1,0,1,0,1,0,1,0
FDM5100D4,FR MECH M5100-D Deore 11s dbl S/S dir,4.55017E+12,silver/blk,double,Shimano Deore,FPGRAG,Each,29.99,16.25,NOR,20,"FD-M5100-D Deore front derailleur, 11-speed double, side swing, direct mount",fdm5100d4,Y,1,SHM,N,,16.25,JP,1,16.25,1,0,1,0,1,0,1,0
FDM5100E4,FR MECH M5100-E Deore 11s dbl S/S E-ty,4.55017E+12,silver/blk,double,Shimano Deore,FPGRAG,Each,29.99,16.25,NOR,20,"FD-M5100-E Deore front derailleur, 11-speed double, side swing, E-type",fdm5100e4,Y,1,SHM,N,,16.25,JP,1,16.25,1,0,1,0,1,0,1,0
FDM5100MX4,FR MECH M5100-M Deore 11s dbl S/S mid/c,4.55017E+12,silver/blk,double,Shimano Deore,FPGRAG,Each,31.99,17.34,NOR,20,"FD-M5100-M Deore front derailleur, 11-speed double, side swing, mid clamp",fdm5100mx4,Y,1,SHM,N,,17.34,JP,1,17.34,1,0,1,0,1,0,1,0
FDM6000D6,FR MECH DeoreM6000-D tpl dir SS F/pl,4.52467E+12,black,10spDirect,Shimano Deore,FPTRAH,Each,31.99,8.99,NOR,20,"Deore M6000-D triple front derailleur, direct mount, side swing, front pull",fdm6000d6,Y,1,SHM,N,,8.99,JP,1,8.99,1,0,1,0,1,0,1,0
FDM6000E6,FR MECH DeoreM6000-E tpl E-ty SS F/pl,4.52467E+12,black,10sp E typ,Shimano Deore,FPTRAH,Each,31.99,8.99,NOR,20,"Deore M6000-E triple front derailleur, E-type mount, side swing, front pull",fdm6000e6,Y,1,SHM,N,,8.99,JP,1,8.99,1,0,1,0,1,0,1,0
FDM6000HX6,FR MECH DeoreM6000-H tpl hi/c SS F/pl,4.52467E+12,black,10spd,Shimano Deore,FPTRAH,Each,31.99,8.99,NOR,20,"Deore M6000-H triple front derailleur, high clamp, side swing, front pull",fdm6000hx6,Y,1,SHM,N,,8.99,JP,1,8.99,1,0,1,0,1,0,1,0
FDM6000LX6,FR MECH DeoreM6000-L tpl lo/c SS F/pl,4.52467E+12,black,10spd,Shimano Deore,FPTRAH,Each,31.99,8.99,NOR,20,"Deore M6000-L triple front derailleur, low clamp, side swing, front pull",fdm6020,Y,1,SHM,N,,8.99,JP,1,8.99,1,0,1,0,1,0,1,0
FDM6000MX6,FR MECH DeoreM6000-M tpl md/c SS F/pl,4.52467E+12,black,10spd,Shimano Deore,FPTRAH,Each,31.99,8.99,NOR,20,"Deore M6000-M triple front derailleur, mid clamp, side swing, front pull",fdm6020,Y,1,SHM,N,,8.99,JP,1,8.99,1,0,1,0,1,0,1,0
FDM6025D6,FR MECH DeoreM6025-D dbl dir DS D/pl,4.52467E+12,black,10spDirect,Shimano Deore,FPTRAH,Each,31.99,17.34,NOR,20,"Deore M6025-D double front derailleur, direct mount, down swing, down pull",fdm6025d6,Y,1,SHM,N,,17.34,JP,1,17.34,1,0,1,0,1,0,1,0
FDM6025HX6,FR MECH DeoreM6025-H dbl hi/c DS dual,4.52467E+12,black,10sp c/swg,Shimano Deore,FPTRAH,Each,31.99,17.34,NOR,20,"Deore M6025-H double front derailleur, high clamp, down swing, dual pull",fdm6025hx6,N,1,SHM,N,,17.34,JP,1,17.34,1,0,1,0,1,0,1,0
FDM6025LX6,FR MECH DeoreM6025-L dbl lo/c TS D/pl,4.52467E+12,black,10sp t/swg,Shimano Deore,FPTRAH,Each,31.99,17.34,NOR,20,"Deore M6025-L double front derailleur, low clamp, top swing, down pull",fdm6025lx6,Y,1,SHM,N,,17.34,JP,1,17.34,1,0,1,0,1,0,1,0
FDM7025HX6,FR MECH SLX M7025-H D/S 11s dbl dual/p,4.52467E+12,black,Hi clp 11,Shimano SLX,FPGRAS,Each,34.99,19.82,NOR,20,"SLX M7025-H double 11-speed front derailleur, high clamp, down swing, dual-pull",fdm7025hx6,N,1,SHM,N,,19.82,JP,1,19.82,1,0,1,0,1,0,1,0
FDM7100D6,FR MECH M7100-D SLX 12s dbl S/S dir,4.55017E+12,silver,double,Shimano SLX,FPGRAS,Each,34.99,19.82,NOR,20,"FD-M7100-D SLX front mech, 12-speed double, side swing, direct mount",fdm7100d6,Y,1,SHM,Y,,19.82,JP,1,19.82,1,0,1,0,1,0,1,0
FDM7100E6,FR MECH M7100-E SLX 12s dbl S/S E-ty,4.55017E+12,silver,double,Shimano SLX,FPGRAS,Each,34.99,19.82,NOR,20,"FD-M7100-E SLX front mech, 12-speed double, side swing, E-type mount",fdm7100e6,Y,1,SHM,Y,,19.82,JP,1,19.82,1,0,1,0,1,0,1,0
FDM7100MX6,FR MECH M7100-M SLX 12s dbl S/S mid/c,4.55017E+12,silver,double,Shimano SLX,FPGRAS,Each,36.99,20.95,NOR,20,"FD-M7100-M SLX front mech, 12-speed double, side swing, mid mount multi fit",fdm7100mx6,Y,1,SHM,Y,,20.95,JP,1,20.95,1,0,1,0,1,0,1,0
FDM8070,FR MECH XT Di2 M8070 11s W/O mnt dbl,4.52467E+12,black,double,Shimano Deore XT,FPTRAH,Each,199.99,59.99,NOR,20,"FD-M8070 XT Di2 double front derailleur, for 34-38T (requires SMFD905 mount)",fdm8070,Y,1,SHM,N,,59.99,JP,1,59.99,1,0,1,0,1,0,1,0
FDM8100D6,FR MECH M8100-D XT 12s dbl S/S dir,4.55017E+12,silver,double,Shimano Deore XT,FPGRAJ,Each,44.99,14.99,NOR,20,"FD-M8100-D Deore XT front mech, 12-speed double, side swing, direct mount",fdm8100d6,Y,1,SHM,Y,,14.99,JP,1,14.99,1,0,1,0,1,0,1,0
FDM8100E6,FR MECH M8100-E XT 12s dbl S/S E-ty,4.55017E+12,silver,double,Shimano Deore XT,FPGRAJ,Each,44.99,14.99,NOR,20,"FD-M8100-E Deore XT front mech, 12-speed double, side swing, E-type mount",fdm8100e6,Y,1,SHM,Y,,14.99,JP,1,14.99,1,0,1,0,1,0,1,0
FDM8100MX6,FR MECH M8100-M XT 12s dbl S/S mid/c,4.55017E+12,silver,double,Shimano Deore XT,FPGRAJ,Each,46.99,14.99,NOR,20,"FD-M8100-M Deore XT front mech, 12-speed double, side swing, mid mount multi fit",fdm8100mx6,Y,1,SHM,Y,,14.99,JP,1,14.99,1,0,1,0,1,0,1,0
FDM9100D,FR MECH XTR M9100 S/S 12s dir dbl,4.52467E+12,grey/black,Dir mnt 12,Shimano XTR,FPGRAY,Each,104.99,34.99,NOR,20,"FD-M9100-D XTR double front derailleur, direct mount, side swing",fdm9100d,Y,1,SHM,N,,34.99,JP,1,34.99,1,0,1,0,1,0,1,0
FDM9100E,FR MECH XTR M9100 S/S 12s E-ty dbl,4.52467E+12,grey/black,E-type 12,Shimano XTR,FPGRAY,Each,104.99,34.99,NOR,20,"FD-M9100-E XTR double front derailleur, E-type mount, side swing",fdm9100e,Y,1,SHM,N,,34.99,JP,1,34.99,1,0,1,0,1,0,1,0
FDM9100MX,FR MECH XTR M9100 S/S 12s md/c dbl,4.52467E+12,grey/black,b/o dbl,Shimano XTR,FPGRAY,Each,104.99,63.9,NOR,20,"FD-M9100-M XTR double front derailleur, mid clamp, multi fit, side swing",fdm9100mx,Y,1,SHM,N,,63.9,JP,1,63.9,1,0,1,0,1,0,1,0
FDR2000F,FR MECH Claris R2000 Dbl braze-on,4.52467E+12,grey,double,Shimano Claris,FPGRAF,Each,29.99,15,NOR,20,"FD-R2000 Claris 8-speed front derailleur, double braze-on",fdr2000f1,Y,1,SHM,N,,15,ID,1,15,1,0,1,0,1,0,1,0
FDR2000X,FR MECH Claris R2000 Dbl 28.6/31.8/34.9,4.52467E+12,grey,double,Shimano Claris,FPGRAF,Each,29.99,15,NOR,20,"FD-R2000 Claris 8-speed front derailleur, double 28.6 / 31.8 / 34.9 mm",fdr2000x1,Y,1,SHM,N,,15,ID,1,15,1,0,1,0,1,0,1,0
FDR2030F,FR MECH Claris R2030 tpl braze-on,4.52467E+12,grey,triple,Shimano Claris,FPGRAF,Each,29.99,15,NOR,20,"FD-R2030 Claris 8-speed front derailleur, triple braze-on",fdr2030f,Y,1,SHM,Y,,15,ID,1,15,1,0,1,0,1,0,1,0
FDR2030X,FR MECH Claris R2030 tpl 28.6/31.8/34.9,4.52467E+12,grey,triple,Shimano Claris,FPGRAF,Each,29.99,15,NOR,20,"FD-R2030 Claris 8-speed front derailleur, triple 28.6 / 31.8 / 34.9 mm",fdr2030x,Y,1,SHM,N,,15,ID,1,15,1,0,1,0,1,0,1,0
FDR3000BSML,FR MECH Sora R3000 9s dbl 28.6/31.8/34.9,4.52467E+12,grey,9sp 28/31/34,Shimano Sora,FPGRAT,Each,32.99,16.5,NOR,20,"FD-R3000 Sora 9-speed front derailleur, double 28.6 / 31.8 / 34.9 mm",fdr3000bsmla,N,1,SHM,N,,16.5,ID,1,16.5,1,0,1,0,1,0,1,0
FDR3000F,FR MECH Sora R3000 9s dbl braze-on,4.52467E+12,grey,9sp brz,Shimano Sora,FPGRAT,Each,32.99,16.5,NOR,20,"FD-R3000 Sora 9-speed front derailleur, double braze-on",fdr3000fa,Y,1,SHM,N,,16.5,ID,1,16.5,1,0,1,0,1,0,1,0
FDR3030BSML,FR MECH Sora R3030 9s tpl 28.6/31.8/34.9,4.52467E+12,grey,9sp 28/31/34,Shimano Sora,FPGRAT,Each,34.99,17.5,NOR,20,"FD-R3030 Sora 9-speed front derailleur, triple 28.6 / 31.8 / 34.9 mm",fdr3030bsml,Y,1,SHM,Y,,17.5,ID,1,17.5,1,0,1,0,1,0,1,0
FDR3030F,FR MECH Sora R3030 9s tpl braze-on,4.52467E+12,grey,9sp brz,Shimano Sora,FPGRAT,Each,34.99,17.5,NOR,20,"FD-R3030 Sora 9-speed front derailleur, triple braze-on",fdr3000f,Y,1,SHM,Y,,17.5,ID,1,17.5,1,0,1,0,1,0,1,0
FDR7000BLL,FR MECH R7000 105 11spd 34.9 BK,4.52467E+12,black,11sp 34,Shimano 105,FPGRAA,Each,44.99,25.5,NOR,20,"FD-R7000 105 11-speed toggle front derailleur, double 34.9 mm, black",fdr7000bl,Y,1,SHM,N,,25.5,JP,1,25.5,1,0,1,0,1,0,1,0
FDR7000BLS,FR MECH R7000 105 11spd 34.9 SR,4.52467E+12,silver,11sp 34,Shimano 105,FPGRAA,Each,44.99,14.99,NOR,20,"FD-R7000 105 11-speed toggle front derailleur, double 34.9 mm, silver",fdr7000bs,Y,1,SHM,Y,,14.99,JP,1,14.99,1,0,1,0,1,0,1,0
FDR7000BSML,FR MECH R7000 105 11spd 28.6/31.8 BK,4.52467E+12,black,11sp 28/31,Shimano 105,FPGRAA,Each,44.99,25.5,NOR,20,"FD-R7000 105 11-speed toggle front derailleur, double 28.6 / 31.8 mm, black",fdr7000bl,Y,1,SHM,N,,25.5,JP,1,25.5,1,0,1,0,1,0,1,0
FDR7000BSMS,FR MECH R7000 105 11spd 28.6/31.8 SR,4.52467E+12,silver,11sp 28/31,Shimano 105,FPGRAA,Each,44.99,14.99,NOR,20,"FD-R7000 105 11-speed toggle front derailleur, double 28.6 / 31.8 mm, silver",fdr7000bs,Y,1,SHM,Y,,14.99,JP,1,14.99,1,0,1,0,1,0,1,0
FDR7000FL,FR MECH R7000 105 11spd braze-on BK,4.52467E+12,black,11sp brz,Shimano 105,FPGRAA,Each,41.99,23.8,NOR,20,"FD-R7000 105 11-speed toggle front derailleur, double braze-on, black",fdr7000fl,Y,1,SHM,N,,23.8,JP,1,23.8,1,0,1,0,1,0,1,0
FDR7000FS,FR MECH R7000 105 11spd braze-on SR,4.52467E+12,silver,11sp brz,Shimano 105,FPGRAA,Each,41.99,14.99,NOR,20,"FD-R7000 105 11-speed toggle front derailleur, double braze-on, silver",fdr7000fs,Y,1,SHM,Y,,14.99,JP,1,14.99,1,0,1,0,1,0,1,0
FDR7100BL,FR MECH R7100 105 12spd 34.9 BK,4.55017E+12,black,12sp 34,Shimano 105,FPGRAA,Each,44.99,25.5,NOR,20,"FD-R7100 105 12-speed toggle front derailleur, double 34.9 mm, black",fdr7100bl,Y,1,SHM,N,,25.5,JP,1,25.5,1,0,1,0,1,0,1,0
FDR7100BSM,FR MECH R7100 105 12spd 28.6/31.8 BK,4.55017E+12,black,12sp 28/31,Shimano 105,FPGRAA,Each,44.99,25.5,NOR,20,"FD-R7100 105 12-speed toggle front derailleur, double 28.6 / 31.8 mm, black",fdr7100bl,Y,1,SHM,N,,25.5,JP,1,25.5,1,0,1,0,1,0,1,0
FDR7100F,FR MECH R7100 105 12spd braze-on BK,4.55017E+12,black,12sp brz,Shimano 105,FPGRAA,Each,41.99,23.8,NOR,20,"FD-R7100 105 12-speed toggle front derailleur, double braze-on, black",fdr7100f,Y,1,SHM,N,,23.8,JP,1,23.8,1,0,1,0,1,0,1,0
FDR7150F,FR MECH 105 Di2 R7150 12spd braze-on,4.55017E+12,black,12spd,Shimano 105,FPGRBC,Each,149.99,85,NOR,20,"FD-R7150 105 Di2 12-speed front derailleur E-tube, braze-on, double",fdr7150f,Y,1,SHM,N,,85,JP,1,85,1,0,1,0,1,0,1,0
FDR8000BL,FR MECH Ult R8000 11spd 34.9,4.52467E+12,grey,11sp 34,Shimano Ultegra,FPGRAW,Each,54.99,32.1,NOR,20,"FD-R8000 Ultegra 11-speed front derailleur, double 34.9 mm",fdr8000bl1,Y,1,SHM,N,,32.1,JP,1,32.1,1,0,1,0,1,0,1,0
FDR8000BSM,FR MECH Ult R8000 11spd 28.6/ 31.8,4.52467E+12,grey,11sp 28/31,Shimano Ultegra,FPGRAW,Each,54.99,32.1,NOR,20,"FD-R8000 Ultegra 11-speed front derailleur, double 28.6 / 31.8 mm",fdr8000bl1,Y,1,SHM,N,,32.1,JP,1,32.1,1,0,1,0,1,0,1,0
FDR8000F,FR MECH Ult R8000 11spd braze,4.52467E+12,grey,11sp brz,Shimano Ultegra,FPGRAW,Each,51.99,30.34,NOR,20,"FD-R8000 Ultegra 11-speed front derailleur, double braze-on",fdr8000f,Y,1,SHM,N,,30.34,JP,1,30.34,1,0,1,0,1,0,1,0
FDR8050F,FR MECH ULT Di2 R8050 11s braze,4.52467E+12,grey,11sp brz,Shimano Ultegra,FPGRAX,Each,214.99,125.5,NOR,20,"FD-R8050 Ultegra Di2 11-speed front derailleur E-tube, braze on, double",fdr8050f,Y,1,SHM,N,,125.5,JP,1,125.5,1,0,1,0,1,0,1,0
FDR8150F,FR MECH Ult Di2 R8150 12spd braze,4.55017E+12,grey,12spd,Shimano Ultegra,FPGRAX,Each,249.99,141.6,NOR,20,"FD-R8150 Ultegra Di2 12-speed front derailleur E-tube, braze on, double",fdr8150f,N,1,SHM,N,,141.6,JP,1,141.6,1,0,1,0,1,0,1,0
FDR9100BSM,FR MECH D/Ace R9100 11spd 28.6/31.8,4.52467E+12,black,11sp 28/31,Shimano Dura-Ace,FPGRAL,Each,124.99,75,NOR,20,"FD-R9100 Dura-Ace 11-speed front derailleur, double 28.6 / 31.8 mm",fdr9100bl1,Y,1,SHM,Y,,75,JP,1,75,1,0,1,0,1,0,1,0
FDR9250F,FR MECH D/Ace Di2 R9250 12spd braze,4.55017E+12,black,12spd,Shimano Dura-Ace,FPGRAM,Each,399.99,240.1,NOR,20,"FD-R9250 Dura-Ace Di2 12-speed front derailleur E-tube, braze on, double",fdr9250f,Y,1,SHM,N,,240.1,JP,1,240.1,1,0,1,0,1,0,1,0
FDRX400F,FR MECH RX400 GRX 10s dbl D/P braze,4.55017E+12,black/silv,11sp brz,Shimano GRX,FPGRBB,Each,39.99,22.65,NOR,20,"FD-RX400 GRX front mech, 10-speed double, down pull, braze-on",fdrx400f,Y,1,SHM,N,,22.65,JP,1,22.65,1,0,1,0,1,0,1,0
FDRX810F,FR MECH RX810 GRX 11s dbl D/P braze,4.55017E+12,black/silv,11sp brz,Shimano GRX,FPGRBB,Each,54.99,31.15,NOR,20,"FD-RX810 GRX front mech, 11-speed double, down pull, braze-on",fdrx810f,Y,1,SHM,N,,31.15,JP,1,31.15,1,0,1,0,1,0,1,0
FDRX815F,FR MECH RX815 GRX Di2 11s dbl braze,4.55017E+12,black/silv,11sp brz,Shimano GRX,FPGRBB,Each,219.99,124.7,NOR,20,"FD-RX815 GRX Di2 front mech, 11-speed double, braze-on",fdrx815f,Y,1,SHM,N,,124.7,JP,1,124.7,1,0,1,0,1,0,1,0
FDRX820F,FR MECH RX820 GRX 12s dbl D/P braze,4.55017E+12,grey,12spd,Shimano GRX,FPGRBB,Each,54.99,31.15,NOR,20,"FD-RX820 GRX front mech, 12-speed double, down pull, braze-on",fdrx820f,Y,1,SHM,N,,31.15,JP,1,31.15,1,0,1,0,1,0,1,0
FDT0051,FORK DT F232 29 Remote 100/51,7.61305E+12,black,29x100/51,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, remote adjust, 29 inch, 51 mm Offset, 100 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0052,FORK DT F232 29 Remote 110/51,7.61305E+12,black,29x110/51,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, remote adjust, 29 inch, 51 mm Offset, 110 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0054,FORK DT F232 29 crown 100/44,7.61305E+12,black,29x100/44,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, crown adjust, 29 inch, 44 mm Offset, 100 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0055,FORK DT F232 29 crown 110/44,7.61305E+12,black,29x110/44,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, crown adjust, 29 inch, 44 mm Offset, 110 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0056,FORK DT F232 29 crown 120/44,7.61305E+12,black,29x120/44,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, crown adjust, 29 inch, 44 mm Offset, 120 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0057,FORK DT F232 29 Remote 100/44,7.61305E+12,black,29x100/44,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, remote adjust, 29 inch, 44 mm Offset, 100 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0058,FORK DT F232 29 Remote 110/44,7.61305E+12,black,29x110/44,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, remote adjust, 29 inch, 44 mm Offset, 110 mm travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT0059,FORK DT F232 29 Remote 120/44,7.61305E+12,black,29x120/44,DT Swiss,FPBFSS,Each,924.99,578.12,NOR,20,"F 232 ONE, BOOST, Remote Adjust, 29 inch, 44 mm Offset, 120 mm Travel",fdt0051,Y,1,DTSW,N,,578.12,TW,1,578.12,1,0,1,0,1,0,1,0
FDT30002TSX3,FR MECH T3000 Acera 9s dbl T/S dual 46T,4.55017E+12,silver,9sp t/swg,Shimano Acera,FPTRAH,Each,27.99,17.06,NOR,20,"FD-T3000-2 Acera front mech, 9-speed double, top swing, dual pull, multi fit",fdt30002tsx3,N,1,SHM,N,,13.99,ID,1,13.99,1,0,1,0,1,0,1,0
FDT6000L3X,FR MECH DeoreT6000-L tpl TS dual 63-66,4.52467E+12,black,triple,Shimano Deore,FPTRAH,Each,32.99,17.88,NOR,20,"Deore T6000-L triple front derailleur, top swing, dual pull, 63-66",fdt6000l3x,N,1,SHM,N,,17.88,JP,1,17.88,1,0,1,0,1,0,1,0
FDT6000L6X,FR MECH DeoreT6000-L tpl TS dual 66-69,4.52467E+12,black,triple,Shimano Deore,FPTRAH,Each,32.99,17.88,NOR,20,"Deore T6000-L triple front derailleur, top swing, dual pull, 66-69",fdt6000l6x,N,1,SHM,N,,17.88,JP,1,17.88,1,0,1,0,1,0,1,0
FDT8000HX3,FR MECH XT T8000 10s conv tpl 63-66 48T,4.52467E+12,black,10sp c/swg,Shimano Deore XT,FPGRAJ,Each,41.99,24.5,NOR,20,"FD-T8000-H XT triple front derailleur, 10-speed, conventional swing, 63-66 deg",fdt8000hx3,Y,1,SHM,N,,24.5,JP,1,24.5,1,0,1,0,1,0,1,0
FDT8000LX3,FR MECH XT T8000 10s T/S tpl 63-66 48T,4.52467E+12,black,10sp t/swg,Shimano Deore XT,FPGRAJ,Each,41.99,24.5,NOR,20,"FD-T8000-H XT triple front derailleur, 10-speed, top swing, 63-66 deg",fdt8000lx3,Y,1,SHM,N,,24.5,JP,1,24.5,1,0,1,0,1,0,1,0
FDT8000LX6,FR MECH XT T8000 10s T/S tpl 66-69 48T,4.52467E+12,black,10sp t/swg,Shimano Deore XT,FPGRAJ,Each,41.99,24.5,NOR,20,"FD-T8000-H XT triple front derailleur, 10-speed, top swing, 66-69 deg",fdt8000lx6,N,1,SHM,N,,24.5,JP,1,24.5,1,0,1,0,1,0,1,0
FDTX800TSX3,FR MECH TX800 Hyb T/S multi 48T,4.52467E+12,silver/blk,7/8s t/swg,Shimano Tourney / TY,FPTRAH,Each,18.99,9.65,NOR,20,"FD-TX800 Tourney TX front derailleur, top swing, dual pull, for 42/48T, 63-66",fdtx800tsx3,Y,1,SHM,N,,7.91,ID,1,7.91,1,0,1,0,1,0,1,0
FDTX800TSX6,FR MECH TX800 MTB T/S multi 48T,4.52467E+12,silver/blk,7/8s t/swg,Shimano Tourney / TY,FPTRAH,Each,19.99,10.16,NOR,20,"FD-TX800 Tourney TX front derailleur, top swing, dual pull, for 42/48T, 66-69",fdtx800tsx3,Y,1,SHM,N,,8.33,ID,1,8.33,1,0,1,0,1,0,1,0
FDTY300DM6,FR MECH Tourney FDTY300 con DP 31.8,4.52467E+12,silver/blk,31.8mm dpc,Shimano Tourney / TY,FPTRAH,Each,17.99,9.15,NOR,20,"FD-TY300 Tourney 6/7-speed triple front derailleur, down pull, 31.8 mm, for 42T",fdty300dm6,Y,1,SHM,N,,7.5,CN,1,7.5,1,0,1,0,1,0,1,0
FDTY300DS6,FR MECH Tourney FDTY300 con DP 28.6,4.52467E+12,silver/blk,28.6mm dpc,Shimano Tourney / TY,FPTRAH,Each,17.99,9.15,NOR,20,"FD-TY300 Tourney 6/7-speed triple front derailleur, down pull, 28.6 mm, for 42T",fdty300dm6,Y,1,SHM,N,,7.5,CN,1,7.5,1,0,1,0,1,0,1,0
FDTY300TM6,FR MECH Tourney FDTY300 con TP 31.8,4.52467E+12,silver/blk,31.8mm tpc,Shimano Tourney / TY,FPTRAH,Each,17.99,9.15,NOR,20,"FD-TY300 Tourney 6/7-speed triple front derailleur, top pull, 31.8 mm, for 42T",fdty300tm6,Y,1,SHM,N,,7.5,CN,1,7.5,1,0,1,0,1,0,1,0
FDTY300TS6,FR MECH Tourney FDTY300 con TP 28.6,4.52467E+12,silver/blk,28.6mm tpc,Shimano Tourney / TY,FPTRAH,Each,17.99,9.15,NOR,20,"FD-TY300 Tourney 6/7-speed triple front derailleur, top pull, 28.6 mm, for 42T",fdty300tm6,Y,1,SHM,N,,7.5,CN,1,7.5,1,0,1,0,1,0,1,0
FDTY500TSX3,FR MECH TY500 63-66 T/S multi 42T,4.52467E+12,black/silv,6/7s t/swg,Shimano Tourney / TY,FPTRAH,Each,15.99,8.12,NOR,20,"FD-TY500 hybrid front derailleur, top swing, dual-pull and multi fit for 42T",fdty500tsx3,Y,1,SHM,Y,,6.66,ID,1,6.66,1,0,1,0,1,0,1,0
FDTY510TSX3,FR MECH TY510 63-66 T/S multi 48T,4.52467E+12,black/silv,6/7s t/swg,Shimano Tourney / TY,FPTRAH,Each,15.99,8.12,NOR,20,"FD-TY510 hybrid front derailleur, top swing, dual-pull and multi fit for 48T",fdty510tsx3,Y,1,SHM,Y,,6.66,ID,1,6.66,1,0,1,0,1,0,1,0
FDTY510TSX6,FR MECH TY510 66-69 T/S multi 48T,4.52467E+12,black/silv,6/7s t/swg,Shimano Tourney / TY,FPTRAH,Each,16.99,8.64,NOR,20,"FD-TY510 MTB front derailleur, top swing, dual-pull and multi fit for 48T",fdty510tsx6,Y,1,SHM,Y,,7.08,ID,1,7.08,1,0,1,0,1,0,1,0
